		名詞	
こうすけ	宏祐	名詞	
いんすたばえ	インスタ映え	名詞	
ありがとう	🙏	名詞	
ー	* 	名詞	Markdown のリスト用 (スペースが含まれていることに注意)
わいげん	猥言	名詞	「ワイ元」になるのを防ぐため
いpほね	iPhone	名詞	
いおs	iOS	名詞	
わtちょs	watchOS	名詞	
まこs	macOS	名詞	
てんすら	転スラ	名詞	
りんぐ	リングフィットアドベンチャー	名詞	
とと	跳兎	名詞	すぐに候補に出てくるようにするため
あさかい	朝会	名詞	「朝回」になるのを防ぐため
げんしん	原神	名詞	すぐに候補に出てくるようにするため
いちだんかい	一段階	名詞	「一段回」になるのを防ぐため
かいかいきたん	廻廻奇譚	名詞	「回怪奇譚」になるのを防ぐため
てん	……	名詞	
ちがい	違い	名詞	「ち外」になることがあるため
ころなか	コロナ禍	名詞	「コロ中」になるのを防ぐため
べたがき	ベタ書き	名詞	「ベタが来」になるのを防ぐため
ばくらく	バクラク	名詞	「バク楽」になるのを防ぐため
らず	Raspberry Pi	名詞	
まーじもと	マージ元	名詞	「まー地元」になるのを防ぐため
ごしょく	誤植	名詞	後色
のこりかす	残りカス	名詞	残り滓
ちゃー	猹	名詞	
まんがん	満俺	名詞	
いこみき	已己巳己	名詞	互いに似ている物をたとえていう語
